bampo	Lithang	Cone	Lhasa	Dege
lj0003_040	6@246b6	100@281b2	6@346b2	6@248a4
lj0003_041	6@258b6	100@297a4	6@364b7	6@261a6
lj0003_042	6@271a8	100@313a5	6@383b7	6@274b2
lj0003_043	7@1b1	101@1b1	7@1b1	7@1b1
lj0003_044	7@16a1	101@20b3	7@23b6	7@16a7
lj0003_045	7@31b5	101@41a7	7@48a1	7@32a1
lj0003_046	7@46b8	101@61a3	7@69b2	7@46b5
lj0003_047	7@63b3	101@81b2	7@93a5	7@63b3
lj0003_048	7@79a8	101@101b1	7@115b7	7@79b3
lj0003_049	7@93a5	101@120b6	7@136b1	7@93a4
lj0003_050	7@108a8	101@140a5	7@158b1	7@108a2
lj0003_051	7@122b2	101@158a4	7@179a7	7@122b1
lj0003_052	7@135b8	101@174a2	7@199b3	7@136b1
lj0003_053	7@148b4	101@188b7	7@217a6	7@148a7
lj0003_054	7@162a7	101@204a2	7@236b3	7@161a4
lj0003_055	7@174b7	101@217b1	7@254a7	7@173a2
lj0003_056	7@190a3	101@234a6	7@275a4	7@187a4
lj0003_057	7@205a4	101@251a4	7@297a5	7@201a4
lj0003_058	7@220a1	101@267b5	7@317b3	7@214a3
lj0003_059	7@233b8	101@283b4	7@337a7	7@227b3
lj0003_060	7@250a1	101@300b7	7@359b6	7@242b2
lj0003_061	7@265b5	101@317a4	7@381b4	7@258a2
lj0003_062	7@280b6	101@333b1	7@401b3	7@272a6
lj0003_063	8@1b1	102@1b1	8@1b1	8@1b1
lj0003_064	8@15b1	102@19a1	8@22b4	8@15a7
lj0003_065	8@27a2	102@32b6	8@38a7	8@26b2
lj0003_066	8@41a5	102@49a8	8@59a7	8@40b7
lj0003_067	8@57a3	102@68a2	8@81b2	8@57a2
lj0003_068	8@72b4	102@88a5	8@103a6	8@73a1
lj0003_069	8@87b8	102@106a6	8@125a6	8@87b6
lj0003_070	8@99b7	102@120b3	8@143b3	8@100a3
lj0003_071	8@111b4	102@133b8	8@161a6	8@112a7
lj0003_072	8@123b3	102@147a8	8@178b3	8@125a1
lj0003_073	8@136a1	102@161b4	8@196b1	8@137b5
lj0003_074	8@148a4	102@176b6	8@214b3	8@150b4
lj0003_075	8@159a2	102@190a3	8@230a6	8@162a6
lj0003_076	8@169a7	102@203a1	8@245b1	8@173a5
lj0003_077	8@179a7	102@215a8	8@260a1	8@183b7
lj0003_078	8@189b8	102@228a8	8@274b5	8@194b6
lj0003_079	8@199a6	102@240b4	8@288b7	8@204a8
lj0003_080	8@210b8	102@254a7	8@305b6	8@216a2
lj0003_081	8@223a6	102@270a3	8@324b3	8@228b5
lj0003_082	8@234b3	102@285a1	8@341b4	8@240a4
lj0003_083	8@248b4	102@303b5	8@362b7	8@254a4
lj0004_001	9@1b1	103@1b1	9@1b1	9@1b1
lj0004_002	9@12b4	103@14a7	9@18b2	9@13a7
lj0005_001	9@25b1	103@26b6	9@35a6	9@25b1
lj0005_002	9@36a8	103@39a7	9@51a3	9@36b7
lj0005_003	9@46a6	103@50a4	9@65b3	9@47a7
lj0005_004	9@57a5	103@61b7	9@81b7	9@59a2
lj0005_005	9@67b1	103@72b3	9@97b2	9@69b6
lj0005_006	9@79a7	103@86a2	9@115a6	9@82a5
lj0005_007	9@91a2	103@99a6	9@132a7	9@95a2
lj0005_008	9@102a4	103@111b5	9@148a7	9@107a3
lj0005_009	9@113b2	103@124a5	9@164b4	9@119a4
lj0005_010	9@124b1	103@136a1	9@180b3	9@131a1
lj0005_011	9@136b6	103@149a6	9@198b3	9@144a4
lj0005_012	9@148b6	103@161b5	9@215b3	9@156b2
lj0005_013	9@159b8	103@173b4	9@231a5	9@168a1
lj0005_014	9@170b4	103@185a5	9@246s3	9@179a1
lj0005_015	9@181a5	103@196a6	9@260a3	9@189a6
lj0005_016	9@192a2	103@209b1	9@277a7	9@201b3
lj0005_017	9@203b1	103@221b7	9@292b2	9@212a4
lj0005_018	9@212b8	103@233a5	9@306a5	9@221b5
